Name,RequiredServices,CanPauseAndContinue,CanShutdown,CanStop,DisplayName,DependentServices,MachineName,ServiceName,ServicesDependedOn,ServiceHandle,Status,ServiceType,Site,Container
FontCache3.0.0.0,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Windows Presentation Foundation Font Cache 3.0.0.0,System.ServiceProcess.ServiceController[],.,FontCache3.0.0.0,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
FoxitCloudUpdateService,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Foxit Cloud Safe Update Service,System.ServiceProcess.ServiceController[],.,FoxitCloudUpdateService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,"Win32OwnProcess, InteractiveProcess",,
gpsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Group Policy Client,System.ServiceProcess.ServiceController[],.,gpsvc,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
gupdate,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Google Update Service (gupdate),System.ServiceProcess.ServiceController[],.,gupdate,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
gupdatem,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Google Update Service (gupdatem),System.ServiceProcess.ServiceController[],.,gupdatem,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
hidserv,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Human Interface Device Access,System.ServiceProcess.ServiceController[],.,hidserv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
hkmsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Health Key and Certificate Management,System.ServiceProcess.ServiceController[],.,hkmsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
HomeGroupListener,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,HomeGroup Listener,System.ServiceProcess.ServiceController[],.,HomeGroupListener,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
HomeGroupProvider,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,HomeGroup Provider,System.ServiceProcess.ServiceController[],.,HomeGroupProvider,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
HWDeviceService64.exe,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,HWDeviceService64.exe,System.ServiceProcess.ServiceController[],.,HWDeviceService64.exe,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,"Win32OwnProcess, InteractiveProcess",,
IBMPMSVC,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Lenovo PM Service,System.ServiceProcess.ServiceController[],.,IBMPMSVC,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
idsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Windows CardSpace,System.ServiceProcess.ServiceController[],.,idsvc,System.ServiceProcess.ServiceController[],,Stopped,Win32ShareProcess,,
IEEtwCollectorService,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Internet Explorer ETW Collector Service,System.ServiceProcess.ServiceController[],.,IEEtwCollectorService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
igfxCUIService1.0.0.0,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Intel(R) HD Graphics Control Panel Service,System.ServiceProcess.ServiceController[],.,igfxCUIService1.0.0.0,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
IKEEXT,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,IKE and AuthIP IPsec Keying Modules,System.ServiceProcess.ServiceController[],.,IKEEXT,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
IPBusEnum,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,PnP-X IP Bus Enumerator,System.ServiceProcess.ServiceController[],.,IPBusEnum,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
iphlpsvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,IP Helper,System.ServiceProcess.ServiceController[],.,iphlpsvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
Jenkins,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Jenkins,System.ServiceProcess.ServiceController[],.,Jenkins,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
JuniperAccessService,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Pulse Secure Network Service,System.ServiceProcess.ServiceController[],.,JuniperAccessService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
KeyIso,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,CNG Key Isolation,System.ServiceProcess.ServiceController[],.,KeyIso,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
KtmRm,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,KtmRm for Distributed Transaction Coordinator,System.ServiceProcess.ServiceController[],.,KtmRm,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
LanmanServer,System.ServiceProcess.ServiceController[],TRUE,FALSE,TRUE,Server,System.ServiceProcess.ServiceController[],.,LanmanServer,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
LanmanWorkstation,System.ServiceProcess.ServiceController[],TRUE,FALSE,TRUE,Workstation,System.ServiceProcess.ServiceController[],.,LanmanWorkstation,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
